id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
72TFWvU3wUYdUuxejTTIzt,Work,"['Rihanna', 'Drake']",77,2016-01-28,0.723,0.534,11,-6.238,1,0.0747,0.0,0.0919,0.551,91.974,219320,4
4aebBr4JAihzJQR0CiIZJv,Hello,['Adele'],1,2015-11-20,0.47,0.431,5,-6.129,0,0.329,0.0,0.0854,0.289,157.98,295502,4
2Fxmhks0bxGSBdJ92vM42m,bad guy,['Billie Eilish'],81,2019-03-29,0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,['3 Doors Down'],79,2000,0.545,0.865,11,-5.708,0,0.00664,1.1e-05,0.168,0.543,99.005,233933,4
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",['Train'],85,2010-12-01,0.673,0.886,1,-4.44,0,0.185,0.0,0.0826,0.795,97.012,216773,4
3cJTPvEe33hGNJguNPAoBC,Poker Face,['Lady Gaga'],36,2008-09-26,0.849,0.824,4,-4.61,1,0.128,2.83e-06,0.0867,0.785,119.001,237533,4
0vJZQ4Rf1ewL4g9xfBJIFn,Just Dance,"['Lady Gaga', ""Colby O'Donis""]",19,2008-09-26,0.821,0.726,1,-4.557,0,0.029,7.18e-05,0.179,0.737,118.982,242027,4
0eqH0ALoDQevq59YcQ53KE,Hollaback Girl,['Gwen Stefani'],70,2004-11-22,0.926,0.916,10,-2.221,0,0.35,6.01e-06,0.0234,0.904,110.009,199853,4
2CEgGE6aESpnmtfiZwYlbV,Dynamite,['Taio Cruz'],74,2010-01-01,0.751,0.781,4,-3.724,1,0.0039,0.0,0.036,0.814,119.977,202613,4
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),"['Beyoncé', 'JAY-Z']",78,2003-06-24,0.646,0.77,2,-6.596,0,0.00249,0.0,0.0715,0.681,99.165,236133,4
6tS3XVuOyu10897O3ae7bi,California Gurls,"['Katy Perry', 'Snoop Dogg']",74,2012-03-12,0.791,0.755,0,-3.729,1,0.00452,0.0,0.163,0.426,125.014,234653,4
1K2GWD2rAVKCSBIs9lu03u,Sorry,['Justin Bieber'],0,2020-07-03,0.679,0.748,0,-3.624,0,0.0878,0.0,0.299,0.438,100.035,200787,4
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,['Ed Sheeran'],81,2014-06-21,0.781,0.445,2,-6.061,1,0.474,0.0,0.184,0.591,78.998,281560,4
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"['Eminem', 'Rihanna']",84,2010-06-18,0.749,0.925,10,-5.034,1,0.241,0.0,0.52,0.641,86.989,263373,4
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,['Bruno Mars'],88,2012-12-07,0.726,0.698,5,-4.165,1,0.049,0.0,0.309,0.867,143.994,233478,4
7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,['Lady A'],72,2010-01-01,0.581,0.717,4,-4.433,1,0.0298,0.000185,0.243,0.316,107.884,236440,4
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"['Pitbull', 'AFROJACK', 'Ne-Yo', 'Nayer']",86,2011-06-17,0.671,0.939,8,-3.206,1,0.191,0.0,0.298,0.53,129.024,252307,4
1mXuMM6zjPgjL4asbBsgnt,Firework,['Katy Perry'],68,2010-08-24,0.638,0.831,8,-5.039,1,0.142,0.0,0.113,0.649,124.071,227893,4
3jlbL2OTD5YmIunYzgQTAN,Live Your Life,"['T.I.', 'Rihanna']",73,2008-09-07,0.375,0.862,11,-3.363,0,0.071,0.0,0.211,0.478,159.841,338853,4
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,"['Lady Gaga', ""Colby O'Donis""]",79,2008-01-01,0.822,0.739,1,-4.541,0,0.0264,4.28e-05,0.181,0.745,118.99,241933,4
7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself,['Eminem'],70,2014-11-24,0.689,0.735,2,-4.545,1,0.00922,0.00072,0.365,0.059,171.403,320627,4
0TzxcB6dK46vgXZT2P8qeR,Trap Queen,['Fetty Wap'],61,2015-09-25,0.746,0.873,7,-3.803,1,0.0244,0.0,0.356,0.816,148.075,222128,4
04KTF78FFg8sOHC1BADqbY,Hot In Herre,['Nelly'],76,2002-06-25,0.956,0.741,11,-4.753,0,0.204,0.0,0.0615,0.911,107.075,228240,4
3unsLiH5FXmaDWtT5Imolu,Fallin',['Alicia Keys'],3,2001-06-26,0.652,0.609,11,-7.519,0,0.263,0.00101,0.233,0.482,95.986,210200,3
50r1EUDpmSZRPo5aIZpmWi,E.T.,['Katy Perry'],53,2010-08-24,0.603,0.863,5,-5.423,0,0.0178,0.0,0.389,0.731,150.054,206373,4
6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,['Beyoncé'],68,2007-05-29,0.447,0.694,7,-4.637,0,0.0293,5.46e-06,0.167,0.509,175.868,227853,4
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,['OneRepublic'],86,2013-01-01,0.663,0.706,1,-4.972,0,0.0654,0.0,0.118,0.474,122.013,257267,4
7iL6o9tox1zgHpKUfh9vuC,In Da Club,['50 Cent'],81,2003-02-06,0.899,0.713,6,-2.752,0,0.255,0.0,0.0708,0.777,90.051,193467,4
66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),['Soulja Boy'],74,2007-01-01,0.733,0.74,0,-2.18,1,0.513,0.0,0.0468,0.799,140.2,221933,4
5pmL3RzOy3IvGFaSDi4hZL,Hangover,"['Taio Cruz', 'Flo Rida']",71,2011-01-01,0.606,0.883,3,-3.243,1,0.00872,0.0,0.0698,0.608,128.053,244907,4
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,['Outkast'],83,2003,0.727,0.974,4,-2.261,0,0.103,0.000532,0.174,0.965,79.526,235213,4
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,['Adele'],1,2011-01-19,0.554,0.321,9,-8.251,1,0.893,0.0,0.0996,0.288,135.047,285240,4
70Vdd1gx5tn84jkAU31ASv,Sexy And I Know It,['LMFAO'],67,2011-01-01,0.708,0.861,7,-4.225,1,0.1,0.0,0.191,0.795,130.043,199480,4
62yJjFtgkhUrXktIoSjgP2,Radioactive,['Imagine Dragons'],80,2012-09-04,0.448,0.784,9,-3.686,1,0.0999,0.000108,0.668,0.237,136.239,186813,4
1zi7xx7UVEFkmKfv06H8x0,One Dance,"['Drake', 'Wizkid', 'Kyla']",87,2016-05-06,0.792,0.625,1,-5.609,1,0.00776,0.0018,0.329,0.37,103.967,173987,4
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,['Taylor Swift'],79,2014-01-01,0.647,0.8,7,-5.384,1,0.0647,0.0,0.334,0.942,160.078,219200,4
2dpaYNEQHiRxtZbfNsse99,Happier,"['Marshmello', 'Bastille']",17,2018-08-17,0.687,0.792,5,-2.749,1,0.191,0.0,0.167,0.671,100.011,214290,4
3U4isOIWM3VvDubwSI3y7a,All of Me,['John Legend'],83,2013-08-30,0.422,0.264,8,-7.064,1,0.922,0.0,0.132,0.331,119.93,269560,4
7fBv7CLKzipRk6EC6TWHOB,The Hills,['The Weeknd'],84,2015-08-28,0.585,0.564,0,-7.063,0,0.0671,0.0,0.135,0.137,113.003,242253,4
69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1","[""Destiny's Child""]",63,2001-05-01,0.73,0.602,6,-3.782,0,0.362,3.69e-06,0.169,0.927,97.954,221133,4
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,['Leona Lewis'],75,2007,0.638,0.656,5,-5.886,1,0.188,0.0,0.146,0.225,104.036,262467,4
7LP4Es66zdY7CyjepqmvAg,Down,"['Jay Sean', 'Lil Wayne']",0,2009-01-01,0.657,0.695,2,-4.493,1,0.0108,0.0,0.0822,0.683,65.997,212107,4
3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),"['Santana', 'The Product G&B']",74,1999-06-15,0.777,0.601,2,-5.931,1,0.0406,0.00201,0.0348,0.68,97.911,261973,4
3Q4WeJmzxuDpzMu9QjQqbM,Big Girls Don't Cry (Personal),['Fergie'],1,2006-09-13,0.708,0.641,7,-4.296,1,0.205,0.0,0.0945,0.253,113.082,268120,4
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,['Bruno Mars'],84,2016-11-17,0.853,0.56,1,-4.961,1,0.013,0.0,0.0944,0.86,134.066,206693,4
5rgy6ghBq1eRApCkeUdJXf,We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']",76,2012-02-14,0.378,0.638,10,-5.576,1,0.02,7.66e-05,0.0849,0.735,184.086,250627,4
6cpk00i5TxCqSeqNi2HuIe,One More Night,['Maroon 5'],77,2012-01-01,0.716,0.821,5,-3.435,0,0.0558,0.0,0.0844,0.618,92.997,219547,4
3AYcyxEACnmE6d96RPubID,Thrift Shop (feat. Wanz),"['Macklemore & Ryan Lewis', 'Wanz']",0,2012-10-09,0.781,0.526,6,-6.985,0,0.0619,0.0,0.0457,0.662,94.992,235613,4
5jrdCoLpJSvHHorevXBATy,Dark Horse,"['Katy Perry', 'Juicy J']",74,2013-10-18,0.647,0.585,6,-6.123,1,0.00314,0.0,0.165,0.353,131.934,215672,4
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",81,2015,0.689,0.481,10,-7.503,1,0.369,1.03e-06,0.0649,0.283,80.025,229526,4
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",81,2018-04-27,0.585,0.52,5,-6.136,0,0.124,7.75e-05,0.131,0.129,159.798,218147,4
0ARK753YaiJbpLUk7z5yIM,Dilemma,"['Nelly', 'Kelly Rowland']",78,2002-06-25,0.727,0.552,2,-8.074,0,0.226,0.00016,0.198,0.607,168.19,289160,4
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,['Bruno Mars'],80,2010-05-11,0.635,0.841,5,-5.379,1,0.0134,0.0,0.0622,0.424,109.021,220734,4
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",['Pharrell Williams'],80,2014-03-03,0.647,0.822,5,-4.662,0,0.219,0.0,0.0908,0.962,160.019,232720,4
1r299qCKBLgUS9XJ9m1kEx,Moves Like Jagger,"['Maroon 5', 'Christina Aguilera']",68,2015-09-25,0.72,0.751,11,-4.485,0,0.0113,0.0,0.353,0.599,128.017,202640,4
6DCZcSspjsKoFjzjrWoCdn,God's Plan,['Drake'],81,2018-06-29,0.754,0.449,7,-9.211,1,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
2dLLR6qlu5UJ5gk0dKz0h3,Royals,['Lorde'],77,2013-09-27,0.674,0.426,7,-9.504,1,0.12,0.0,0.132,0.337,84.876,190185,4
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,['Meghan Trainor'],74,2015-01-09,0.807,0.887,9,-3.726,1,0.0573,2.87e-06,0.124,0.961,134.052,187920,4
6ucR4KfvsBFWCMVFDvyKKl,Apologize,"['Timbaland', 'OneRepublic']",71,2007-04-02,0.653,0.603,8,-6.017,1,0.0292,0.0,0.097,0.101,118.016,184400,4
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,['Kesha'],84,2010-01-01,0.755,0.837,2,-2.718,0,0.0991,0.0,0.289,0.714,120.028,199693,4
1sr43wLj77qg0geyvM9ltz,Boom Boom Pow,['Black Eyed Peas'],0,2020-07-03,0.864,0.858,9,-5.895,1,0.13,0.00157,0.134,0.409,130.054,251440,4
